"년도","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"2022","270374","242852","246371","265587","292568","281721","286820","297856","287093","","",""
"2021","227835","226937","228601","241942","259563","252496","283688","293282","283742","288636","261017","273718"
"2020","215368","205221","215327","215602","247533","231669","252446","259754","224179","256815","241983","255921"
"2019","149026","143691","152561","147678","186355","198542","232004","254203","238874","236344","219810","233368"
"2018","173166","169296","177823","174233","186815","182162","197151","199845","196740","187705","175110","179428"
"2017","182799","170636","183179","179225","185907","181928","202182","205688","199650","201221","185984","189131"
"2016","125474","128515","131557","143842","160921","167879","183148","190979","181884","179830","170492","184630"
"2015","81232","82240","96127","99187","106370","108590","120499","125631","118474","124345","124617","130742"
"2014","28668","31248","40184","41478","52066","54548","61962","72395","70251","80901","83182","86617"
"2013","","3141","11416","12455","16140","19113","18507","21403","19252","19696","22049","22277"
